TransactionID,DateTime,CustomerID,CustomerName,Age,Gender,Country,City,ProductID,ProductName,Category,Price,Quantity,TotalAmount,DiscountApplied,PaymentMethod,OrderStatus,DeliveryDate,ReviewRating,Feedback
TXN1017,2023-06-28 10:37:00,6545,Daniel Hebert,72,Male,San Marino,Normamouth,P5017,Office Chair,Furniture,180.87,2,360.97,0.77,PayPal,Cancelled,2023-07-05 10:37:00,3.3,Low simple far close myself.
TXN1018,2023-06-24 19:28:00,5466,Melinda Johnson,49,Female,Italy,North Sharonshire,P5018,Kitchen Blender,Appliances,104.54,2,194.22000000000003,14.86,Credit Card,Cancelled,2023-06-29 19:28:00,4.0,Letter low son laugh chair.
TXN1019,2023-11-24 22:28:00,1634,Susan Mckinney,47,Female,Indonesia,Allenland,P5019,Wireless Headphones,Electronics,276.82,6,1534.0700000000002,126.85,Bank Transfer,Completed,2023-11-25 22:28:00,1.2,Not space attack fear.
TXN1020,2023-07-07 09:43:00,6314,Susan Anderson,49,Female,Lebanon,Nathanshire,P5020,Smartphone Case,Accessories,214.18,1,196.76,17.42,PayPal,Pending,2023-07-14 09:43:00,3.0,Several mean parent great.
TXN1021,2023-09-14 17:22:00,7643,Andrew Bowman Jr.,53,Female,Western Sahara,East Maryfort,P5021,Wireless Headphones,Electronics,63.19,2,103.87,22.51,PayPal,Completed,2023-09-17 17:22:00,1.3,Can Mr else month result stock.
TXN1022,2023-10-03 12:55:00,8631,Deborah Warren,46,Female,Ukraine,Joshuabury,P5022,Bluetooth Speaker,Electronics,355.54,9,2912.9300000000003,286.93,Credit Card,Cancelled,2023-10-08 12:55:00,4.6,Somebody PM recognize our east put.
TXN1023,2023-04-16 01:54:00,2890,George Wang,24,Female,Ghana,New Dorothy,P5023,Yoga Mat,Fitness,134.37,5,539.08,132.77,PayPal,Pending,2023-04-18 01:54:00,4.1,Heart great each girl power last.
TXN1024,2023-05-21 08:51:00,3400,Jessica Gibson,48,Female,Sierra Leone,Port Beverly,P5024,Wireless Headphones,Electronics,406.42,8,3187.71,63.65,Bank Transfer,Completed,2023-05-28 08:51:00,1.4,Base of drop environment.
TXN1025,2023-06-05 12:18:00,3499,Joe Jensen,64,Other,Honduras,Jasonburgh,P5025,Office Chair,Furniture,45.28,10,445.33,7.47,PayPal,Cancelled,2023-06-09 12:18:00,2.0,View summer resource section.
TXN1026,2023-10-30 02:34:00,6872,Ralph Fox,42,Female,Palestinian Territory,Tinatown,P5026,Bluetooth Speaker,Electronics,88.29,5,436.91,4.54,Bank Transfer,Cancelled,2023-11-06 02:34:00,4.2,Particular full across statement ten need husband.
TXN1027,2023-10-22 00:04:00,2730,Anita Gibson,20,Other,Swaziland,Scottchester,P5027,Wireless Headphones,Electronics,389.77,1,368.67,21.1,Bank Transfer,Pending,2023-10-29 00:04:00,3.1,Become everyone similar all.
TXN1028,2023-05-08 11:05:00,5741,Daniel Morgan,70,Male,United States of America,Amberborough,P5028,Bluetooth Speaker,Electronics,150.28,3,372.88,77.96,Credit Card,Cancelled,2023-05-10 11:05:00,1.3,Possible art heart station yes.
TXN1029,2023-03-05 03:11:00,6433,Daniel Lewis,64,Other,Mali,Cassandraton,P5029,Yoga Mat,Fitness,365.56,7,2324.78,234.14,Credit Card,Pending,2023-03-08 03:11:00,3.0,People to ten control.
TXN1030,2023-11-13 11:09:00,5329,Anthony Stevenson,36,Female,Seychelles,New Courtney,P5030,Smartphone Case,Accessories,27.64,8,208.81,12.31,Credit Card,Cancelled,2023-11-18 11:09:00,1.0,Policy structure cover high quite seek five.
TXN1031,2023-01-26 10:45:00,3516,Tracy Henderson,71,Other,Rwanda,Port Sandrashire,P5031,Wireless Headphones,Electronics,383.42,9,3225.1800000000003,225.6,Cash,Cancelled,2023-01-30 10:45:00,3.8,Back continue everyone available.
TXN1032,2023-08-16 09:44:00,1326,Samuel Rivera,50,Other,Papua New Guinea,Lake Ian,P5032,Kitchen Blender,Appliances,102.8,4,340.14,71.06,PayPal,Pending,2023-08-22 09:44:00,1.8,Information yes home.
TXN1033,2023-12-31 17:48:00,1512,Regina Fletcher,60,Other,Cocos (Keeling) Islands,South Markton,P5033,Kitchen Blender,Appliances,466.19,6,2681.37,115.77,Cash,Completed,2024-01-01 17:48:00,2.1,Whole each project dream gun.
TXN1034,2023-09-30 08:31:00,1609,Todd Dickson,24,Female,Cayman Islands,Rodriguezburgh,P5034,Smartphone Case,Accessories,280.92,8,2245.57,1.79,Cash,Cancelled,2023-10-01 08:31:00,2.7,Those tend middle mention lose often ago.
TXN1035,2023-09-10 14:17:00,1208,Billy Gonzalez,59,Male,Yemen,Riceland,P5035,Wireless Headphones,Electronics,323.45,3,914.74,55.61,PayPal,Pending,2023-09-14 14:17:00,3.8,Recognize common unit information plant wonder.
TXN1036,2023-12-16 09:33:00,3152,Elizabeth Gibson,55,Female,Rwanda,Port Anthonyville,P5036,Kitchen Blender,Appliances,362.32,5,1657.04,154.56,Bank Transfer,Pending,2023-12-22 09:33:00,1.6,At per popular car direction throughout.
TXN1037,2023-01-03 12:47:00,8902,Sheri Cruz,35,Male,Morocco,East Judithfort,P5037,Bluetooth Speaker,Electronics,368.2,2,697.93,38.47,Bank Transfer,Pending,2023-01-06 12:47:00,1.3,Price leader choose cause our energy.
TXN1038,2023-10-16 20:39:00,2938,Matthew Chan,22,Male,Latvia,Bobbyville,P5038,Laptop Stand,Office Supplies,439.39,10,3825.57,568.33,Credit Card,Cancelled,2023-10-21 20:39:00,4.4,Join baby news rule report certainly.
TXN1039,2023-11-17 10:00:00,9420,Emily Fletcher,40,Other,Sweden,Mccluremouth,P5039,LED Desk Lamp,Home Decor,436.61,10,4138.39,227.71,Bank Transfer,Cancelled,2023-11-24 10:00:00,3.2,After mouth until type range.
TXN1040,2023-02-11 15:51:00,5173,Megan Jensen,49,Female,Montenegro,Lake Lindsey,P5040,Laptop Stand,Office Supplies,159.14,3,454.14,23.28,Cash,Completed,2023-02-13 15:51:00,3.2,Boy both allow glass.
TXN1041,2023-07-31 06:02:00,3871,Richard Newton,32,Other,Netherlands Antilles,North Jerryville,P5041,Electric Toothbrush,Personal Care,470.19,3,1348.29,62.28,Credit Card,Completed,2023-08-05 06:02:00,1.9,National skill citizen accept she line pay you.
TXN1042,2023-02-23 02:45:00,7263,Chris Torres,40,Other,Monaco,Sanchezmouth,P5042,Yoga Mat,Fitness,21.46,2,40.67,2.25,Credit Card,Cancelled,2023-02-24 02:45:00,3.7,Hour traditional western simply.
TXN1043,2023-05-31 19:33:00,1662,Tonya Barr,40,Female,Brunei Darussalam,Jessicabury,P5043,Laptop Stand,Office Supplies,273.18,10,2227.8500000000004,503.95,Cash,Completed,2023-06-03 19:33:00,3.7,Television behavior upon base mind short present attack.
TXN1044,2023-11-14 19:23:00,4859,Christopher Cameron,46,Male,Australia,Jeromemouth,P5044,LED Desk Lamp,Home Decor,389.93,6,2244.13,95.45,Credit Card,Cancelled,2023-11-15 19:23:00,3.2,Source artist ten score take establish find simple.
TXN1045,2023-06-25 23:46:00,5583,David Owens,68,Other,Bolivia,South Jeanettetown,P5045,Smartphone Case,Accessories,176.96,9,1517.15,75.49,Credit Card,Cancelled,2023-06-26 23:46:00,2.3,Medical shake sometimes direction.
TXN1046,2023-04-16 05:59:00,5175,Rebecca Roberts,49,Other,Costa Rica,Emilyfort,P5046,Office Chair,Furniture,154.67,7,868.8800000000001,213.81,PayPal,Completed,2023-04-22 05:59:00,1.5,Establish method professional.
TXN1047,2023-01-28 06:14:00,9293,Candace Wagner,64,Male,United States of America,West Christinaton,P5047,Yoga Mat,Fitness,159.07,5,746.9200000000001,48.43,PayPal,Pending,2023-02-01 06:14:00,3.2,Create should almost drug help.
TXN1048,2023-08-20 06:40:00,7482,Lisa Graham,23,Male,Guernsey,New Natalie,P5048,Bluetooth Speaker,Electronics,454.04,9,3298.8900000000003,787.47,Bank Transfer,Completed,2023-08-23 06:40:00,1.4,Task inside paper pattern likely.
TXN1049,2023-04-16 19:58:00,5091,Tommy Boone,42,Other,Wallis and Futuna,North Charleshaven,P5049,Laptop Stand,Office Supplies,107.97,1,92.11,15.86,Cash,Cancelled,2023-04-18 19:58:00,1.3,Among budget seek writer without hundred.
TXN1050,2023-07-23 17:39:00,9738,Tami Mercado DDS,46,Female,Svalbard & Jan Mayen Islands,New Mary,P5050,Smartphone Case,Accessories,406.76,4,1599.83,27.21,Bank Transfer,Cancelled,2023-07-30 17:39:00,2.8,People cup so walk see message true series.
TXN1051,2023-10-12 20:16:00,3102,Kimberly Jimenez,40,Other,Jordan,North Judystad,P5051,Yoga Mat,Fitness,162.13,5,788.54,22.11,Bank Transfer,Cancelled,2023-10-15 20:16:00,2.0,After local possible teacher.
TXN1052,2023-05-31 15:40:00,5782,Laura Gutierrez,37,Male,Slovenia,North Ambermouth,P5052,Wireless Headphones,Electronics,317.57,6,1829.19,76.23,Credit Card,Pending,2023-06-03 15:40:00,3.7,Color day beat not five product for.
TXN1053,2023-10-30 22:55:00,7271,Caitlin Brown,56,Female,Libyan Arab Jamahiriya,South John,P5053,Yoga Mat,Fitness,196.3,7,1259.9,114.2,Bank Transfer,Cancelled,2023-10-31 22:55:00,1.1,Learn me say wrong turn.
TXN1054,2023-03-24 05:38:00,1951,Hector Salazar,36,Female,Eritrea,East Mary,P5054,Kitchen Blender,Appliances,428.71,9,3605.66,252.73,Credit Card,Completed,2023-03-31 05:38:00,3.2,Whose decade list writer certainly language drop.
TXN1055,2023-02-18 15:45:00,6760,Roger Ibarra,70,Female,Sri Lanka,East Jesseland,P5055,Kitchen Blender,Appliances,354.05,8,2738.83,93.57,Cash,Pending,2023-02-19 15:45:00,2.4,Will parent may southern.
TXN1056,2023-09-27 08:39:00,1367,Richard Brown,56,Female,Paraguay,Millerberg,P5056,Electric Toothbrush,Personal Care,42.7,6,238.7,17.5,Credit Card,Completed,2023-09-29 08:39:00,3.2,Democratic music item among once.
TXN1057,2023-01-27 22:31:00,6217,Chad Odonnell,72,Other,Barbados,Cisnerosview,P5057,Smartphone Case,Accessories,166.54,9,1330.56,168.3,Credit Card,Completed,2023-02-03 22:31:00,2.7,Board although price forward series.
TXN1058,2023-08-17 15:44:00,3392,Mrs. Latasha Davis DVM,27,Male,Czech Republic,West Shannonhaven,P5058,Office Chair,Furniture,287.56,5,1186.81,250.99,PayPal,Completed,2023-08-21 15:44:00,1.7,Base rather computer environmental generation letter space word.
TXN1059,2023-06-08 03:20:00,9706,Robert Perkins,47,Other,Canada,Kelleyside,P5059,Laptop Stand,Office Supplies,130.24,8,1037.24,4.68,Cash,Cancelled,2023-06-10 03:20:00,3.2,Subject own agent as any.
TXN1060,2023-12-20 02:41:00,7129,Jeremiah Watkins,34,Other,Spain,Kathyview,P5060,Running Shoes,Clothing,455.6,4,1500.62,321.78,Bank Transfer,Completed,2023-12-24 02:41:00,1.6,Late interest hour music put majority.
TXN1061,2023-01-04 05:47:00,9504,Michael Wilkins,45,Male,Bahrain,New Samantha,P5061,Office Chair,Furniture,294.95,7,2060.76,3.89,Credit Card,Completed,2023-01-09 05:47:00,2.5,Light method side against real.
TXN1062,2023-09-11 18:56:00,4363,Laurie Stanton,52,Other,Congo,Josephville,P5062,Kitchen Blender,Appliances,496.65,8,3577.29,395.91,PayPal,Cancelled,2023-09-18 18:56:00,1.1,Month story claim either.
TXN1063,2023-08-25 13:01:00,6907,William Torres,66,Other,Bolivia,North Michelle,P5063,Kitchen Blender,Appliances,154.32,2,259.37,49.27,Cash,Pending,2023-09-01 13:01:00,3.8,After force return end too explain full.
TXN1064,2023-08-19 01:55:00,6447,Becky Jackson,60,Female,Anguilla,Michaelberg,P5064,Running Shoes,Clothing,272.93,1,230.63,42.3,Credit Card,Completed,2023-08-22 01:55:00,1.0,Significant firm who relate more man.
TXN1065,2023-08-02 02:50:00,8012,Aaron Carter,37,Other,Palestinian Territory,North Paul,P5065,LED Desk Lamp,Home Decor,145.12,9,1145.84,160.24,Bank Transfer,Completed,2023-08-09 02:50:00,1.7,Check significant out amount reduce room.
TXN1066,2023-03-12 18:55:00,5557,Eric Smith,52,Male,Nigeria,Sanfordtown,P5066,Running Shoes,Clothing,405.48,2,748.1700000000001,62.79,Bank Transfer,Cancelled,2023-03-16 18:55:00,2.0,Power factor which deep song information step.
TXN1067,2023-07-08 03:53:00,1330,Heather Nguyen,67,Male,Romania,Martinezburgh,P5067,Laptop Stand,Office Supplies,96.28,5,388.61,92.79,PayPal,Pending,2023-07-14 03:53:00,3.7,Although source anyone force draw.
TXN1068,2023-04-12 06:29:00,4349,Mary Stewart,72,Male,Sudan,West Ashley,P5068,Smartphone Case,Accessories,63.17,1,53.63,9.54,PayPal,Completed,2023-04-18 06:29:00,3.9,Minute now drug.
TXN1069,2023-09-23 12:14:00,2914,Sarah Chavez,26,Female,Botswana,Nicholasburgh,P5069,Yoga Mat,Fitness,99.22,9,858.01,34.97,PayPal,Completed,2023-09-27 12:14:00,1.6,Picture these already appear everything condition.
TXN1070,2023-05-19 13:49:00,3169,Ashley Green,24,Female,Slovenia,New Jenniferfort,P5070,Smartphone Case,Accessories,7.02,9,54.68,8.5,Bank Transfer,Pending,2023-05-21 13:49:00,1.6,Industry her seek health anything.
TXN1071,2023-11-04 18:45:00,8540,Jason Sloan,41,Male,Slovenia,Reyesland,P5071,Smartphone Case,Accessories,468.17,10,4103.79,577.91,PayPal,Completed,2023-11-10 18:45:00,3.6,Section though large ability keep oil smile.
TXN1072,2023-06-24 16:55:00,5766,Amy Johnson,37,Other,Liberia,Christieborough,P5072,Laptop Stand,Office Supplies,286.66,1,237.69000000000003,48.97,PayPal,Pending,2023-06-29 16:55:00,4.3,Effect effect as forward north.
TXN1073,2023-11-19 03:52:00,5731,Shannon Smith,60,Male,Dominican Republic,Ryanmouth,P5073,Wireless Headphones,Electronics,109.65,8,867.74,9.46,Cash,Pending,2023-11-26 03:52:00,1.3,Up fire best house wear.
TXN1074,2023-07-12 16:08:00,5290,Kevin Marsh,73,Male,Palau,Jonesport,P5074,Laptop Stand,Office Supplies,69.88,3,206.09,3.55,PayPal,Pending,2023-07-15 16:08:00,1.4,Expert kind know low stop his.
TXN1075,2023-09-02 06:04:00,1772,Carl Rice,29,Other,Guernsey,Joelmouth,P5075,Office Chair,Furniture,29.37,3,76.32,11.79,PayPal,Cancelled,2023-09-04 06:04:00,1.0,Most quality us condition during road few movement.
TXN1076,2023-12-26 14:46:00,1159,Karen Larson,37,Other,Denmark,Lake Tammyville,P5076,Smartphone Case,Accessories,22.84,9,187.7,17.86,Cash,Completed,2023-12-27 14:46:00,2.8,Area top contain position where hour.
TXN1077,2023-06-20 13:42:00,7110,Joel Bell,53,Other,Gambia,Port Margaret,P5077,Office Chair,Furniture,146.59,3,362.68,77.09,Cash,Pending,2023-06-27 13:42:00,2.3,Particularly network enjoy leader grow character.
TXN1078,2023-11-15 13:13:00,3022,Steven Francis,73,Male,French Guiana,Lake Jacqueline,P5078,Bluetooth Speaker,Electronics,99.15,3,242.78,54.67,PayPal,Completed,2023-11-17 13:13:00,2.8,Affect gun region fear coach.
TXN1079,2023-01-11 08:04:00,1021,Bryan Michael,61,Male,Bahamas,Everettbury,P5079,Wireless Headphones,Electronics,230.35,6,1227.52,154.58,Credit Card,Pending,2023-01-16 08:04:00,2.9,Common receive market.
TXN1080,2023-05-24 17:30:00,9855,Erin Douglas,27,Male,Barbados,New Alexisport,P5080,Smartphone Case,Accessories,25.27,9,200.65,26.78,Cash,Completed,2023-05-31 17:30:00,2.4,Close fish be model open.
TXN1081,2023-01-22 21:43:00,6861,Kevin French,19,Male,Ireland,Nicolefort,P5081,Wireless Headphones,Electronics,314.06,9,2340.73,485.81,Bank Transfer,Cancelled,2023-01-29 21:43:00,4.7,Space century data structure.
TXN1082,2023-10-18 05:35:00,5468,Jennifer Shields,29,Male,Saint Helena,Paulburgh,P5082,Smartphone Case,Accessories,308.32,7,1832.76,325.48,Bank Transfer,Cancelled,2023-10-20 05:35:00,3.5,Necessary street health fight serious.
TXN1083,2023-04-14 07:08:00,7503,Stacy Morgan,26,Male,Barbados,Port Robert,P5083,Smartphone Case,Accessories,324.7,10,2679.09,567.91,Bank Transfer,Pending,2023-04-21 07:08:00,1.0,Trade work lawyer military tax paper.
TXN1084,2023-02-27 03:52:00,7194,Megan Davis,58,Other,Guatemala,New Vincentville,P5084,Yoga Mat,Fitness,467.3,5,1975.39,361.11,Bank Transfer,Completed,2023-02-28 03:52:00,4.6,Think by may lot commercial.
TXN1085,2023-02-08 01:07:00,5942,Barbara Gould,29,Male,American Samoa,South Sean,P5085,Kitchen Blender,Appliances,264.54,2,434.62000000000006,94.46,Cash,Cancelled,2023-02-10 01:07:00,4.8,Natural education director address provide great measure.
TXN1086,2023-01-06 05:58:00,9949,Eric Roth,56,Female,Nauru,Lewisside,P5086,LED Desk Lamp,Home Decor,107.7,2,187.94,27.46,PayPal,Completed,2023-01-08 05:58:00,2.4,Thousand note goal least matter adult coach design.
TXN1087,2023-03-18 06:13:00,2025,Anna Wolf,27,Male,Tokelau,Port Jayhaven,P5087,Laptop Stand,Office Supplies,153.43,9,1165.83,215.04,Credit Card,Pending,2023-03-21 06:13:00,2.2,Pick maintain owner change agree far put create.
TXN1088,2023-11-22 05:28:00,6608,Sara Garcia,35,Female,Nauru,Webbchester,P5088,Yoga Mat,Fitness,429.06,10,4001.1100000000006,289.49,Cash,Completed,2023-11-26 05:28:00,3.2,Program along but imagine truth read.
TXN1089,2023-04-14 09:03:00,7242,Heather Rodriguez,66,Male,Namibia,East Barbara,P5089,Electric Toothbrush,Personal Care,393.26,5,1944.67,21.63,PayPal,Cancelled,2023-04-20 09:03:00,1.8,Character account player network employee enough lawyer.
TXN1090,2023-03-01 08:45:00,6291,Jose Ortiz,61,Female,Papua New Guinea,South Christina,P5090,Smartphone Case,Accessories,485.34,10,3991.14,862.26,PayPal,Cancelled,2023-03-07 08:45:00,4.3,Family major policy these like.
TXN1091,2023-02-24 12:34:00,6910,Heidi Fletcher,28,Other,Niger,Ericaland,P5091,Running Shoes,Clothing,393.74,5,1600.38,368.32,Cash,Pending,2023-02-26 12:34:00,4.3,Recently official south child vote usually.
TXN1092,2023-07-16 17:41:00,3810,Christine Graham,43,Female,Nicaragua,Rosetown,P5092,Laptop Stand,Office Supplies,215.53,8,1595.64,128.6,Credit Card,Cancelled,2023-07-18 17:41:00,3.0,Pattern professor able often.
TXN1093,2023-09-03 18:52:00,2489,Catherine Young,45,Other,Gabon,New Deborah,P5093,Smartphone Case,Accessories,236.31,10,1905.58,457.52,Credit Card,Completed,2023-09-10 18:52:00,4.4,Important themselves method population friend network get policy.
TXN1094,2023-03-12 15:02:00,1249,Benjamin Rodriguez,52,Male,Netherlands Antilles,West Tyler,P5094,LED Desk Lamp,Home Decor,410.27,2,755.02,65.52,PayPal,Completed,2023-03-13 15:02:00,2.5,Often example say three who treatment prevent sign.
TXN1095,2023-02-20 04:16:00,2668,Shelly King,61,Other,Equatorial Guinea,East Hannahfort,P5095,Laptop Stand,Office Supplies,477.11,10,4713.39,57.71,Credit Card,Pending,2023-02-24 04:16:00,4.5,Generation save no.
TXN1096,2023-03-15 07:33:00,1073,Laura Perry,69,Male,Serbia,Beardstad,P5096,Yoga Mat,Fitness,196.5,10,1669.7,295.3,Credit Card,Cancelled,2023-03-19 07:33:00,4.2,Fall recognize capital side wonder result you sure.
TXN1097,2023-05-07 09:26:00,5804,Levi Evans,24,Female,Uganda,South Karltown,P5097,Laptop Stand,Office Supplies,154.26,5,700.2099999999999,71.09,PayPal,Pending,2023-05-13 09:26:00,2.0,Stay among rather discover us choice reveal Mrs.
TXN1098,2023-11-01 03:44:00,6519,Laura Williams,36,Other,United Kingdom,West Anna,P5098,Smartphone Case,Accessories,179.12,9,1481.86,130.22,PayPal,Cancelled,2023-11-03 03:44:00,1.7,Economic drive sea have.
TXN1099,2023-10-22 04:27:00,8064,Samantha Kidd,55,Other,Mali,New Mary,P5099,Yoga Mat,Fitness,299.26,7,2032.44,62.38,PayPal,Completed,2023-10-28 04:27:00,1.9,Plant nice author also important year its.
TXN1100,2023-11-05 21:36:00,5829,Emily Rojas,50,Female,South Georgia and the South Sandwich Islands,North Erik,P5100,Wireless Headphones,Electronics,363.34,4,1206.7199999999998,246.64,PayPal,Pending,2023-11-10 21:36:00,4.8,Physical third bit authority.
TXN1101,2023-10-04 18:35:00,9869,Mark Harris,57,Female,Azerbaijan,New Stacyshire,P5101,Bluetooth Speaker,Electronics,40.84,4,152.54000000000002,10.82,Bank Transfer,Cancelled,2023-10-07 18:35:00,1.5,Together citizen professional issue though.
TXN1102,2023-08-24 06:01:00,9127,Jason Cain,49,Other,Bouvet Island (Bouvetoya),Port Bryan,P5102,Smartphone Case,Accessories,473.33,1,415.87,57.46,Bank Transfer,Cancelled,2023-08-25 06:01:00,1.6,Quality south price learn field reach.
TXN1103,2023-04-23 02:54:00,4498,Douglas Casey,26,Male,Slovakia (Slovak Republic),Banksmouth,P5103,Yoga Mat,Fitness,12.48,3,31.63,5.81,Bank Transfer,Completed,2023-04-26 02:54:00,3.8,Difficult under field strategy either.
TXN1104,2023-10-29 02:13:00,9334,Kaitlin Mathews,43,Female,Cameroon,Williamsmouth,P5104,Bluetooth Speaker,Electronics,469.19,1,437.99,31.2,Bank Transfer,Completed,2023-11-03 02:13:00,3.3,Tend player why third high coach.
TXN1105,2023-10-05 10:52:00,5163,Nicholas Mckay,24,Male,China,Lake Elizabethborough,P5105,Yoga Mat,Fitness,67.46,3,199.81,2.57,Bank Transfer,Completed,2023-10-08 10:52:00,1.4,Enough simply effect.
TXN1106,2023-10-01 11:06:00,8429,Paula Morrison,55,Female,Saint Martin,Maryberg,P5106,Yoga Mat,Fitness,228.44,7,1372.52,226.56,PayPal,Completed,2023-10-05 11:06:00,4.2,Physical firm weight cup man.
TXN1107,2023-05-18 11:41:00,2448,Jacob Gamble,20,Male,British Virgin Islands,Port Valeriehaven,P5107,Bluetooth Speaker,Electronics,150.34,8,1074.24,128.48,Bank Transfer,Cancelled,2023-05-20 11:41:00,3.2,Public stuff school though.
TXN1108,2023-04-23 23:03:00,5492,Justin Harrison,30,Other,Faroe Islands,North Dennisland,P5108,LED Desk Lamp,Home Decor,449.49,1,367.39,82.1,Bank Transfer,Completed,2023-04-24 23:03:00,3.0,Senior rise road how response cause provide.
TXN1109,2023-06-04 21:51:00,6124,Nicole Johnson,39,Male,Botswana,West Timothy,P5109,Office Chair,Furniture,57.35,4,206.14,23.26,PayPal,Pending,2023-06-08 21:51:00,2.0,Interview feeling dark among trial development after.
TXN1110,2023-01-12 08:47:00,5120,David Mcguire,44,Male,Jamaica,Jimenezmouth,P5110,Yoga Mat,Fitness,108.74,5,531.7700000000001,11.93,Bank Transfer,Pending,2023-01-13 08:47:00,3.5,Radio mean can and son stock worry before.
TXN1111,2023-05-22 01:49:00,6413,Brian Collins,32,Male,Hong Kong,Sarahhaven,P5111,Wireless Headphones,Electronics,375.88,9,3085.96,296.96,Bank Transfer,Cancelled,2023-05-25 01:49:00,1.1,Win score direction certain especially world.
TXN1112,2023-02-14 21:06:00,8398,Nathan Jones,27,Male,Sierra Leone,Lake Randall,P5112,Running Shoes,Clothing,9.95,4,38.55,1.25,Cash,Completed,2023-02-16 21:06:00,1.1,Assume clear own important sit economy popular.
